|成交日期| 交易所 |       品种       |      合约      |买/卖|   投/保    |  成交价  | 手数 |   成交额   |       开平       |  手续费  |  平仓盈亏  |     权利金收支      |  成交序号  |
|  Date  |Exchange|     Product      |   Instrument   | B/S |    S/H     |   Price  | Lots |  Turnover  |       O/C        |   Fee    |Realized P/L|Premium Received/Paid|  Trans.No. |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|20190603|上期所  |铜                |     cu1907     |买   |投机        | 46130.000|     2|   461300.00|开                |     23.34|        0.00|                 0.00|000002079088|
|20190603|上期所  |铜                |     cu1907     |买   |投机        | 46130.000|     1|   230650.00|开                |     11.67|        0.00|                 0.00|000002079089|
|20190603|上期所  |铜                |     cu1907     |买   |投机        | 46130.000|     1|   230650.00|开                |     11.67|        0.00|                 0.00|000002079090|
|20190603|上期所  |铜                |     cu1907     |买   |投机        | 46130.000|     1|   230650.00|开                |     11.67|        0.00|                 0.00|000002079091|
|20190603|上期所  |铜                |     cu1907     |买   |投机        | 46130.000|     2|   461300.00|开                |     23.34|        0.00|                 0.00|000002079092|
|20190603|上期所  |铜                |     cu1907     |买   |投机        | 46130.000|     1|   230650.00|开                |     11.67|        0.00|                 0.00|000002079093|
|20190603|上期所  |铜                |     cu1907     |买   |投机        | 46130.000|     1|   230650.00|开                |     11.67|        0.00|                 0.00|000002079094|
|20190603|上期所  |铜                |     cu1907     |买   |投机        | 46130.000|     1|   230650.00|开                |     11.67|        0.00|                 0.00|000002079095|
|20190603|上期所  |铜                |     cu1907     |买   |投机        | 46120.000|     1|   230600.00|开                |     11.67|        0.00|                 0.00|000002080144|
|20190603|上期所  |铜                |     cu1907     |买   |投机        | 46130.000|     4|   922600.00|开                |     46.68|        0.00|                 0.00|000002084792|
|20190603|上期所  |铜                |     cu1907     |买   |投机        | 46130.000|     1|   230650.00|开                |     11.67|        0.00|                 0.00|000002084886|
|20190603|上期所  |铜                |     cu1908     |买   |投机        | 46190.000|     1|   230950.00|开                |     11.69|        0.00|                 0.00|000002069106|
|20190603|上期所  |铜                |     cu1908     |买   |投机        | 46180.000|     1|   230900.00|开                |     11.68|        0.00|                 0.00|000002072262|
|20190603|上期所  |铜期权            |  cu1907P44000  |   卖|投机        |    72.000|     2|      720.00|开                |     10.50|        0.00|               720.00|000002061417|
|20190603|郑商所  |甲醇              |     MA001      |买   |投机        |  2363.000|    10|   236300.00|开                |     20.14|        0.00|                 0.00|060304386785|
|20190603|郑商所  |甲醇              |     MA909      |   卖|投机        |  2311.000|    10|   231100.00|开                |     20.14|        0.00|                 0.00|060304386784|
|20190603|郑商所  |棉花看跌期权      |  CF909P15600   |   卖|投机        |  2649.000|     1|    13245.00|开                |      1.51|        0.00|             13245.00|060304539388|
|20190603|郑商所  |棉花看跌期权      |  CF909P15600   |   卖|投机        |  2649.000|     1|    13245.00|开                |      1.51|        0.00|             13245.00|060304540290|
|20190603|郑商所  |棉花看涨期权      |  CF909C17200   |买   |投机        |    12.000|     1|       60.00|  平              |      1.51|        0.00|               -60.00|060304349150|
|20190603|郑商所  |棉花看涨期权      |  CF909C17200   |   卖|投机        |    14.000|    10|      700.00|开                |     15.10|        0.00|               700.00|060304519253|
|20190603|郑商所  |一号棉花          |     CF001      |买   |投机        | 13900.000|    20|  1390000.00|开                |     86.83|        0.00|                 0.00|060300525107|
|20190603|郑商所  |一号棉花          |     CF001      |   卖|投机        | 13880.000|    10|   694000.00|  平              |      0.42|    -6250.00|                 0.00|060300782942|
